id,dc_name,date_added
RYKZ4w,bj15,2025-12-27
GneyaR,yizhuang-data-center,2025-12-27
wOvxrG,simon-house-(mcr2),2025-12-27
wODmoB,watkins-center-south,2025-12-27
RxZnZw,strasbourg,2025-12-27
bGzOMw,lunar-digital-1-and-2,2025-12-27
RpOxAB,chachoengsao-keppel,2025-12-27
B1Xz8w,atman-warsaw-3,2025-12-27
Gyk1EB,seeweb-frosinone-1,2025-12-27
BEW46G,lok-yang-campus,2025-12-27
RjPPnw,phoenix-data-center,2025-12-27
Ga7AXB,xai-colossus-2,2025-12-27
GDrjpB,ber2,2025-12-27
wo1JbR,qts-datacenters-cedar-rapids,2025-12-27
RYMV4R,ockelbo,2025-12-27
BqWY1G,atlanta-alpharetta,2025-12-27
BgJQKw,logix-austin,2025-12-27
GneAaR,bj18,2025-12-27
Rj0mEw,victor-hugo-dc-magyar-telekom,2025-12-27
RxZWow,romacineca,2025-12-27
BJgeeR,mad4,2025-12-27
wo1OlR,navalmoral-de-la-mata,2025-12-27
G6En4R,qts-datacenters-san-antonio-data-center,2025-12-27
GrXzoB,hcmc02-(creative-space),2025-12-27
RKlY4G,atecsys-data-center,2025-12-27
R0aK5G,val-de-reuil-2,2025-12-27
BEWpdG,milan-1-and-2,2025-12-27
GdJW7B,lf9,2025-12-27
B1pJ8w,nkg1,2025-12-27
wV6n7w,prime-data-centers-dfw01-01,2025-12-27
R4kJgB,ashburn-va7,2025-12-27
yGl7gR,digital-realty-dfw17,2025-12-27
GmXMvR,dc1-and-dc2---katowice--gospodarcza,2025-12-27
Vw5VaB,aruba-it-it3-bergamo,2025-12-27
R0mJgG,mapletree-industrial-3300-essex-drive,2025-12-27
R8VW4w,lf10,2025-12-27
ARNK8G,africa-data-centres-cpt1,2025-12-27
lR879B,digital-realty-dfw35,2025-12-27
BA3ymG,khazna-auh6,2025-12-27
Bb000G,langfang-gu'an-data-center-(pkx2),2025-12-27
GdANNw,kajaani_xtx,2025-12-27
wVq6VG,novartis-fort-worth,2025-12-27
wVMOxG,dub55,2025-12-27
BX6kDG,microsoft-lyle-creek,2025-12-27
B1AnVB,lf5,2025-12-27
R8JaVw,1547-critical-systems-realty-chase-tower-mctx1,2025-12-27
BELOdw,lunar-digital-3,2025-12-27
GyYLOG,samx-fauquier-county,2025-12-27
RjPg8w,iad55,2025-12-27
RvYrOB,a1-leonding,2025-12-27
GZqMLR,dxb2-khazna,2025-12-27
BPLVKB,european-quantum-data-center,2025-12-27
RK8xDG,du-kizad,2025-12-27
wOQ0kR,dimension-data-johannesburg-1,2025-12-27
wV66Ow,ec51-ho-chi-minh-city,2025-12-27
B13vVG,villamayor-de-gállego,2025-12-27
G32nlR,sto01b,2025-12-27
G3pVkw,databank-den1-englewood,2025-12-27
RxnWKw,den-bosch,2025-12-27
wod41B,data-center-liguria-digitale,2025-12-27
weX2VG,cloudhq-dc-6,2025-12-27
RvXYrw,project-west,2025-12-27
Gm61Lw,lien-chieu,2025-12-27
B1prVw,viettel-hoa-lac-data-center,2025-12-27
Gl49VG,sequitor-edge-llc-kearney-tech-one-crossing,2025-12-27
G32XlR,wester-hermiston-ai-data-centre-campus,2025-12-27
RN9PYB,china-unicom-(huailai)-big-data-innovation-industrial-park,2025-12-27
Bb8YkG,duos-edge-ai-pampa-energy-center,2025-12-27
Gamx6G,os2x,2025-12-27
9RYLdB,equinix-sv3,2025-12-27
G32LYR,university-data-center-,2025-12-27
BgV7mw,lidice-2,2025-12-27
woW8lw,lahti,2025-12-27
RvXDaw,osaka-data-centre-capitaland,2025-12-27
R8LXZR,osl04-campus,2025-12-27
G32kYR,cyberjaya-dc2,2025-12-27
Gz3kVw,microsoft-plano,2025-12-27
B1pbVw,phillips,2025-12-27
Rj09zw,h5-herndon-data-center,2025-12-27
Gl44gG,hmc,2025-12-27
R8VxVw,dk1-skanderborg,2025-12-27
GLjkAB,prime-sacramento-campus-,2025-12-27
8Rv0aw,equinix-sv4,2025-12-27
Rj00Nw,beacon-ai-hub-heartland-ai-hub,2025-12-27
w9q6pw,calvano-development-wichita-falls,2025-12-27
wVqKKG,keskikylä,2025-12-27
RYq1OR,apple-phoenix-data-center,2025-12-27
Gy5pEG,emc-hostco-muc-i,2025-12-27
GrljKB,münchenstein-(basel)-2,2025-12-27
GlP4zG,data-foundry-houston-1,2025-12-27
wVnLKw,vantage-data-centers-az2,2025-12-27
B1Xm3w,crane-data-centers-portland-metro-data-center-campus,2025-12-27
B1jEQR,cielo-gaffney,2025-12-27
RNQXlB,digital-realty-cph3,2025-12-27
RKv6eB,campus-griswold-site-2,2025-12-27
R4Dg8R,jk-technology-park-2,2025-12-27
B1QvxB,coresite-la2,2025-12-27
8Rv1AB,aligned-dallas-campus,2025-12-27
BE8xow,sv11,2025-12-27
Grll7B,beacon-ai-centers-saunders-lake-ai-hub,2025-12-27
Gy4kVR,chandragiri,2025-12-27
we833G,athens-campus-serverfarm,2025-12-27
gB7xPR,equinix-sv8,2025-12-27
RxPV4R,bilbao--,2025-12-27
B7VKbw,hoa-lac-data-centre-2,2025-12-27
Gy4YLR,dulles-design-center,2025-12-27
Gz75Mw,sao-paulo-1-1,2025-12-27
GDLloG,mulberry-place-town-hall-and-lighterman-house,2025-12-27
B1XxMw,dreammark-incheon-idc,2025-12-27
woWnKw,mwh03-1,2025-12-27
R88KWR,salalah,2025-12-27
RKv22B,khazna-auh4,2025-12-27
8Rv3NG,ebrc-rcs-kayl,2025-12-27
R8Q7ZG,liepkalnis-data-center-baltneta,2025-12-27
RKaA4w,coresite-la1,2025-12-27
Gm4NJR,sydney-,2025-12-27
BPdAbB,milan-ntt,2025-12-27
RpZlqw,muc1,2025-12-27
kGakYB,digital-realty-dfw36,2025-12-27
RpY5mG,data-logistics-center-dc-j13,2025-12-27
4RKKzR,equinix-ma3,2025-12-27
GL2nNB,markley-group-one-summer-street,2025-12-27
R0WbjB,bcn01,2025-12-27
YBg4OR,400-holger-way,2025-12-27
jBE36G,equinix-da3,2025-12-27
RpO7DB,lwsa,2025-12-27
wOD1QB,ne-edge-gouldsboro-data-center,2025-12-27
EG6EbR,pulsant-sheffield,2025-12-27
w5VA8B,hickman-property,2025-12-27
R4DYoR,kajaani_google,2025-12-27
GDKJDR,mountain-road-technology-park,2025-12-27
GdroNB,venice,2025-12-27
BPJMdG,netdoor-jxn,2025-12-27
Bg510G,undisclosed-van-wert,2025-12-27
B7V5bw,augsburg-1-data-center,2025-12-27
BgV64w,alcala-dc2,2025-12-27
wVnmxw,opendc-pe2,2025-12-27
Grl91B,lendaidc,2025-12-27
RjWJMG,banesco-dc,2025-12-27
BXZqNG,plessis-robinson,2025-12-27
G6nl3G,idaho-national-laboratory-collaborative-computing-center,2025-12-27
DR403R,dub-20,2025-12-27
RKlqDG,trento,2025-12-27
BXJ7MG,advanced-computing-centre,2025-12-27
R2JLDR,richmond-data-center-campus,2025-12-27
BPJV4G,paterna,2025-12-27
wOLvAB,centro-tecnológico-caracas,2025-12-27
woWbxw,cyrusone-wood-dale-(chi6),2025-12-27
R889WR,dcii-h1-campus,2025-12-27
3RxQ4G,stt-hyderabad-dc1,2025-12-27
GdY18w,bridge-data-centres-my02,2025-12-27
GneNOR,bolzano,2025-12-27
Gl4rPG,yangju-data-centre,2025-12-27
RQ63pG,bessemer,2025-12-27
RKaEew,amsterdam-1-and-2,2025-12-27
w5Aeaw,vint-hill-corners,2025-12-27
gB7vQw,mid-west-data-depot-south-bend---monroe,2025-12-27
BqvJ7R,vantage-new-albany,2025-12-27
GzZdjG,bahnhof-pionen,2025-12-27
pGDgoR,interxion-a-digital-realty-company-par4,2025-12-27
B7Vaew,waw1-switch,2025-12-27
GD9Obw,t-systems-t-center,2025-12-27
wMrYnB,almaty-2,2025-12-27
GdJabB,valencia,2025-12-27
Rj0lJw,macquarie-park-campus-2,2025-12-27
bBX6JG,edgeconnex-edcsli01,2025-12-27
RxnYdw,lf20-21,2025-12-27
RjxLMw,jakarta-3-data-center,2025-12-27
w9qMKw,dcx-usa-gyr1,2025-12-27
BAgA6G,crusoe-laramie-county-data-center,2025-12-27
GmXAmR,bahnhof-thule,2025-12-27
R8mz4G,damac-cyberjaya,2025-12-27
Bg02xR,scb-new-data-center,2025-12-27
w9LeQG,bt-global-services-milano,2025-12-27
dGWAEB,lee02,2025-12-27
wM2AnB,cs3andcs4,2025-12-27
wo16XR,nostrum-evergreen,2025-12-27
GLv54B,qts-new-albany-1,2025-12-27
RNQ3ZB,apcc2,2025-12-27
R0mKDG,expedient-north-mountain,2025-12-27
GlJNnB,rackspace-nyc2,2025-12-27
G3MgyB,iad73,2025-12-27
R88OPR,brooklyn-campus-(bk3-5),2025-12-27
GaZl9w,ntt-global-data-centers-cyberjaya-4-annex,2025-12-27
R88L4R,adatpark-gyor-magyar-telekom,2025-12-27
BPbVVG,jk5,2025-12-27
wM2P4B,ams-campus,2025-12-27
RKv5DB,google-new-albany,2025-12-27
w5VE0B,teesworks-data-centre,2025-12-27
RYMb4R,damac-johor,2025-12-27
GnXmKB,qts-datacenters-jersey-city-data-center,2025-12-27
wo1deR,salasala-data-center,2025-12-27
R2ZEeR,changhua-data-center-campus,2025-12-27
w5WV8R,murcia,2025-12-27
wVnNVw,cologix-van6,2025-12-27
GdYyqw,equinix-sy5,2025-12-27
RNanYB,compass-meridian,2025-12-27
Gdd8DG,strateq-dc-1-(pj),2025-12-27
wVA0QG,lumen-technologies-hamburg-suederstrasse,2025-12-27
GWnP3R,atlas-agro-richland-campus,2025-12-27
we8ZNG,ntt-mesa-data-campus,2025-12-27
R8883R,beacon-ai-centers-chestermere-enterprise-ai-hub,2025-12-27
Gdd24G,lhr19-(cloud-house),2025-12-27
Rv43Yw,amazon-warrenton,2025-12-27
BgJk4w,mel81---kinloch-ct,2025-12-27
GlWygR,lf16,2025-12-27
wOL3gB,fra-03-,2025-12-27
GrZJXG,iad13,2025-12-27
dGZWow,aligned-phoenix-01and02and03and05,2025-12-27
Grj5oG,estruxture-van-3,2025-12-27
GrvM1G,syd1-greensquaredc,2025-12-27
G6noNG,atlas-project-sassy,2025-12-27
GDKenR,oakland-university-253-pioneer-dr,2025-12-27
woQgxR,sl2x,2025-12-27
RKL3zG,dc-01,2025-12-27
GkYM5B,bj12,2025-12-27
RKllZG,athena,2025-12-27
RKv85B,dci-sel01,2025-12-27
GLPyzG,equinix-ld11x,2025-12-27
BJPbWG,project-timbuktu,2025-12-27
R4DaoR,stack-jhb01,2025-12-27
dGWavB,mb1,2025-12-27
w9D42G,hexatoff-data-centre,2025-12-27
pGDz5B,h5-data-centers-chandler,2025-12-27
GrXo1B,swe01,2025-12-27
BPdZVB,mel1-greensquaredc,2025-12-27
R8VWMw,bj13,2025-12-27
GDKKzR,beacon-ai-centers-harry-smith-ai-hub,2025-12-27
dGZ2nG,nva4,2025-12-27
wVn6Qw,dar-es-salaam-data-center,2025-12-27
RYNJNG,port-dickson,2025-12-27
B1XK8w,nashville-franklin,2025-12-27
GneMaR,bj2,2025-12-27
RKv3qB,microsoft-ginger-west,2025-12-27
GmKbJB,inap-phoenix-data-center,2025-12-27
R0lZnR,western-hospitality-partners-project-lincoln:-oc-data-center,2025-12-27
BJLmZG,aws-vasteras,2025-12-27
BALXmw,basildon,2025-12-27
we8N9G,jib-1,2025-12-27
G3MNXB,nttsv1,2025-12-27
R2JZgR,gossau,2025-12-27
R4k0gB,microsoft-hebronandunion-township,2025-12-27
GrvW7G,berlin-3,2025-12-27
G33zXG,databank-atl1,2025-12-27
R8JxMw,bellingham,2025-12-27
B1XDew,ashburn-va6,2025-12-27
R8JeDw,flexential-nashville-brentwood,2025-12-27
w9DxEG,milan1-virtus,2025-12-27
RKlnVG,kobe-dc,2025-12-27
GZNrdG,interxion-a-digital-realty-company-par1,2025-12-27
RjPxnw,mba2,2025-12-27
RNQmoB,par01,2025-12-27
RKvj2B,tan-binh,2025-12-27
BAggOG,craigieburn,2025-12-27
R8myVG,edged-new-albany,2025-12-27
GDoneR,flexential-nashville-cool-springs,2025-12-27
G3VLWR,rj1takoda,2025-12-27
GWnp0R,nebius-data-center,2025-12-27
GdzzqB,project-spalding,2025-12-27
BPdJ4B,national-data-center-,2025-12-27
Gk4PWw,bonvillars-data-centre,2025-12-27
w5XD7G,interxion-a-digital-realty-company-zur2,2025-12-27
Gama2G,shinsaibashi-data-center-iij,2025-12-27
BXpnNB,syd3,2025-12-27
qB1q6B,t5-charlotte,2025-12-27
GnKKyw,new-albany-4-(miller),2025-12-27
BA3WPG,paypal-data-center-,2025-12-27
Gm6Dgw,microsoft-la-porte,2025-12-27
R0lXQR,mel2,2025-12-27
GamdLG,databanksv1,2025-12-27
BbnKjB,sao-paulo-2,2025-12-27
wVn2xw,bakki-data-center,2025-12-27
GrV4rG,sbch-data-centre,2025-12-27
GLDLbG,blueprint-data-centers-georgetown,2025-12-27
Gk4xWw,federal-government-data-centre-kano-,2025-12-27
RQZ0pG,omiya-center,2025-12-27
ARN7oG,iron-mountain-azs-1,2025-12-27
RjxZNw,datahaven,2025-12-27
mGr8XB,interxion-a-digital-realty-company-par2,2025-12-27
B1AY6B,2045-and-2055-lafayette-street,2025-12-27
BAgpxG,tract-peru-ridge,2025-12-27
G6bVxG,interxion-a-digital-realty-company-zur3,2025-12-27
we8ODG,sgk-ankara,2025-12-27
Bg0dQR,toyosaki-building,2025-12-27
wMm45w,osaka-(kix1),2025-12-27
RYNyNG,isando-campus---jb7,2025-12-27
GD9bpw,st3-amunategui-data-center,2025-12-27
BE1ojB,sarihyun-dong-data-centre,2025-12-27
B7Q1QG,st-leonards,2025-12-27
GlXMxG,dc-infra-2-glenmarie,2025-12-27
BAyvPB,coresite-sv2,2025-12-27
BPL9yB,sp02,2025-12-27
Gz4zdB,shinmachi-no--1-building,2025-12-27
R0aLKG,amazon-web-services-dub53,2025-12-27
wo1kXR,sgbl-beirut,2025-12-27
RQ6n9G,luzern,2025-12-27
BAylOB,lumen-technologies-atlanta-6,2025-12-27
wM2qqB,elsham-wolds,2025-12-27
mGrbgG,ascendas-the-chess-building,2025-12-27
Rpqk3G,hopone-dca2,2025-12-27
Vw55gw,iron-mountain-nje-1,2025-12-27
RNa8lB,cole-valley-data-centre,2025-12-27
BqgY0G,blueprint-data-centers-taylor,2025-12-27
nR2nWR,edgeconnex-edcslc01,2025-12-27
RK8DeG,west-yorkshire,2025-12-27
Gmxk5R,conapto-stockholm-4-south,2025-12-27
DGn0KB,equinix-bg1,2025-12-27
yGlDrG,sv1,2025-12-27
GnK0Qw,beyon-data-oasis,2025-12-27
Gnolaw,redcentric-data-centres-gatwick,2025-12-27
Gno9Vw,bt-global-services-dublin-citywest-(site-1),2025-12-27
BE8LXw,horndal,2025-12-27
Bqv7lR,iron-mountain-richmond--virginia,2025-12-27
BPbbbG,sp4-sgrutb04,2025-12-27
Rv44Mw,airoli-campus-(nav2),2025-12-27
B72Vvw,nva05,2025-12-27
R8VmMw,staffanstorp,2025-12-27
RxP4oR,seax-global-data-centre-campus,2025-12-27
BXZnjG,meta-stanton-springs-campus-2,2025-12-27
GlJgrB,qts-atlanta-dc1,2025-12-27
G3MJPB,yizhuang-kexin-cloud-computing-center,2025-12-27
BJV3oB,85-10th-avenue,2025-12-27
GWMyvB,queretaro2,2025-12-27
Rp7xqB,flexential-salt-lake-city-fair-park,2025-12-27
GyYryG,microsoft-grand-rapids,2025-12-27
R8JQvw,kajaani,2025-12-27
RpOnmB,tract-south-valley,2025-12-27
GWnNZR,røyrvik,2025-12-27
GaZYmw,scbd-jakarta,2025-12-27
w9D3QG,capital-region-readiness-center,2025-12-27
woQ6kR,neidc-khurais-riyadh,2025-12-27
wMrknB,spartanburg,2025-12-27
GLDPQG,t-systems-switzerland,2025-12-27
mGroXw,equinix-sv15,2025-12-27
GWn1bR,kenwick-road-campus,2025-12-27
R0l2MR,idaho-national-laboratory-cybercore-integration-center,2025-12-27
wVMAKG,pa|1,2025-12-27
B1pY4w,london-west,2025-12-27
BXJ4VG,data-centre-germany-south,2025-12-27
WRQMaR,iron-mountain-wpa-1,2025-12-27
R4oKXB,nusadatacenter-nusanet,2025-12-27
BA7lyG,sna1,2025-12-27
w5Aq8w,hawk,2025-12-27
BPdNdB,vélizy-villacoublay,2025-12-27
we8vDG,hellandsbygd-data-center,2025-12-27
w5VWqB,arlandastad,2025-12-27
RvX2qw,elite-uk-reit-peel-park,2025-12-27
R8VYDw,iwasaki-computer-center,2025-12-27
GkY35B,neucentrix-medan,2025-12-27
GlXx7G,claro-triara-bogota,2025-12-27
GZZvvG,edged-energy-slc01-1,2025-12-27
BPbOkG,sfr-netcenter-strasbourg,2025-12-27
pGD54w,digital-realty-2805-lafayette-street,2025-12-27
GmXQgR,ags-saitama-idc,2025-12-27
8Rv9qB,equinix-sk2,2025-12-27
Rv4Pgw,neucentrix-pekanbaru,2025-12-27
BJPeeG,tract-virginia-highlands,2025-12-27
G6aK4R,bucharest-1-portland-trust,2025-12-27
weXv4G,data-center-ikeja,2025-12-27
jBEzLR,scaleway-dc4,2025-12-27
BE9xyB,bordeaux-netcenter,2025-12-27
GDK7DR,vsc-4-and-vsc-5,2025-12-27
RjxMzw,chennai-campus-,2025-12-27
qB17MG,digital-realty-365-main-street,2025-12-27
Gkx10w,colocation-northwest-redmond,2025-12-27
Rxn9aw,datavita-dv2,2025-12-27
GyYYbG,brightray-my01,2025-12-27
RNn4dR,ascenty-hortolândia-3,2025-12-27
GLPjQG,databank-atl2-atlanta-west-end,2025-12-27
RQLQ6B,1401-main-st,2025-12-27
zwO5rR,digital-realty-3105-alfred-street,2025-12-27
GaAJ9G,claro-triara-ortezal,2025-12-27
BAgE6G,musica,2025-12-27
GL2YZB,santiago-1,2025-12-27
BXpZWB,neucentrix-batuampar,2025-12-27
RjJkzR,databank-atl3-atlanta-west-end,2025-12-27
RjPoEw,information-technology-operation-center,2025-12-27
Bb8L6G,dc-it,2025-12-27
GDr55B,china-unicom-southwest-data-center,2025-12-27
BbA3kw,claro-triara-alkarawi,2025-12-27
wM2LzB,mougins,2025-12-27
RpOOpB,munbong-data-centre,2025-12-27
RK804G,cornelius-house,2025-12-27
GnK9Qw,st-marx,2025-12-27
RpOODB,eems-dc2,2025-12-27
B7EmPG,kix14,2025-12-27
Rx9boG,talktalk-milton-keynes-data-centre,2025-12-27
GDLZbG,sota-f25-datacentre,2025-12-27
BPLZKB,neucentrix-surabaya-jawa-timur,2025-12-27
RQnO5G,china-telecom-lujiazui-idc-room,2025-12-27
RpOg5B,alfanar-spark,2025-12-27
B13kQG,sp11-sgrutb11,2025-12-27
